# Menipy Drop Analysis Coordinates
# Image: gota pendiente 1.png
# Scale: 213.114754 px/mm

# NEEDLE BBOX (pixel space: x, y, width, height)
520, 0, 390, 123

# NEEDLE CONTACT POINTS (pixel space: Left_x, Left_y, Right_x, Right_y)
516, 123, 914, 124

# DROPLET CONTOUR COORDINATES (pixel space: x, y)
516.10, 124.89
514.48, 129.18
512.88, 133.47
511.28, 137.77
509.69, 142.07
508.12, 146.38
506.55, 150.69
505.01, 155.01
503.47, 159.33
501.96, 163.66
500.46, 167.99
498.98, 172.33
497.52, 176.68
496.08, 181.03
494.67, 185.39
493.28, 189.76
491.91, 194.14
490.57, 198.52
489.25, 202.92
487.96, 207.32
486.70, 211.73
485.47, 216.14
484.27, 220.57
483.11, 225.00
481.97, 229.45
480.87, 233.90
479.80, 238.36
478.77, 242.83
477.78, 247.30
476.82, 251.79
475.90, 256.28
475.02, 260.78
474.18, 265.29
473.39, 269.80
472.63, 274.33
471.92, 278.86
471.25, 283.39
470.62, 287.93
470.05, 292.48
469.51, 297.04
469.03, 301.60
468.59, 306.16
468.20, 310.73
467.86, 315.30
467.58, 319.88
467.34, 324.46
467.16, 329.04
467.02, 333.63
466.94, 338.21
466.92, 342.80
466.95, 347.38
467.04, 351.97
467.18, 356.55
467.38, 361.13
467.64, 365.71
467.95, 370.28
468.33, 374.85
468.76, 379.42
469.26, 383.98
469.81, 388.53
470.43, 393.07
471.11, 397.61
471.85, 402.13
472.65, 406.65
473.52, 411.15
474.45, 415.64
475.44, 420.12
476.50, 424.58
477.62, 429.02
478.81, 433.45
480.07, 437.86
481.39, 442.25
482.77, 446.62
484.22, 450.97
485.74, 455.30
487.33, 459.60
488.98, 463.88
490.70, 468.13
492.49, 472.35
494.34, 476.55
496.26, 480.71
498.25, 484.84
500.30, 488.94
502.42, 493.01
504.61, 497.04
506.87, 501.03
509.19, 504.99
511.58, 508.90
514.03, 512.77
516.55, 516.61
519.13, 520.39
521.78, 524.14
524.50, 527.83
527.27, 531.48
530.12, 535.08
533.02, 538.63
535.99, 542.12
539.02, 545.57
542.11, 548.95
545.26, 552.28
548.47, 555.56
551.74, 558.77
555.07, 561.93
558.45, 565.02
561.89, 568.05
565.39, 571.02
568.94, 573.92
572.55, 576.75
576.20, 579.52
579.91, 582.21
583.67, 584.84
587.48, 587.39
591.34, 589.87
595.24, 592.28
599.19, 594.61
603.18, 596.87
607.21, 599.05
611.29, 601.15
615.41, 603.17
619.56, 605.11
623.75, 606.97
627.98, 608.75
632.24, 610.44
636.53, 612.05
640.86, 613.58
645.21, 615.02
649.59, 616.37
654.00, 617.64
658.43, 618.82
662.88, 619.91
667.36, 620.91
671.85, 621.83
676.36, 622.65
680.89, 623.39
685.43, 624.03
689.98, 624.58
694.54, 625.05
699.11, 625.42
703.69, 625.70
708.27, 625.89
712.85, 625.98
715.15, 626.00
715.38, 626.00
715.40, 626.00
715.42, 626.00
715.65, 626.00
717.94, 625.98
722.53, 625.89
727.11, 625.70
731.69, 625.42
736.26, 625.05
740.82, 624.58
745.37, 624.03
749.91, 623.39
754.44, 622.65
758.95, 621.83
763.44, 620.91
767.92, 619.91
772.37, 618.82
776.80, 617.64
781.21, 616.37
785.59, 615.02
789.94, 613.58
794.27, 612.05
798.56, 610.44
802.82, 608.75
807.05, 606.97
811.24, 605.11
815.39, 603.17
819.51, 601.15
823.59, 599.05
827.62, 596.87
831.61, 594.61
835.56, 592.28
839.46, 589.87
843.32, 587.39
847.13, 584.84
850.89, 582.21
854.60, 579.52
858.25, 576.75
861.86, 573.92
865.41, 571.02
868.91, 568.05
872.35, 565.02
875.73, 561.93
879.06, 558.77
882.33, 555.56
885.54, 552.28
888.69, 548.95
891.78, 545.57
894.81, 542.12
897.78, 538.63
900.68, 535.08
903.52, 531.48
906.30, 527.83
909.02, 524.14
911.67, 520.39
914.25, 516.61
916.77, 512.77
919.22, 508.90
921.61, 504.99
923.93, 501.03
926.19, 497.04
928.38, 493.01
930.50, 488.94
932.55, 484.84
934.54, 480.71
936.46, 476.55
938.31, 472.35
940.10, 468.13
941.82, 463.88
943.47, 459.60
945.06, 455.30
946.57, 450.97
948.03, 446.62
949.41, 442.25
950.73, 437.86
951.99, 433.45
953.18, 429.02
954.30, 424.58
955.36, 420.12
956.35, 415.64
957.28, 411.15
958.15, 406.65
958.95, 402.13
959.69, 397.61
960.37, 393.07
960.99, 388.53
961.54, 383.98
962.04, 379.42
962.47, 374.85
962.85, 370.28
963.16, 365.71
963.42, 361.13
963.62, 356.55
963.76, 351.97
963.85, 347.38
963.88, 342.80
963.85, 338.21
963.78, 333.63
963.64, 329.04
963.46, 324.46
963.22, 319.88
962.93, 315.30
962.60, 310.73
962.21, 306.16
961.77, 301.60
961.29, 297.04
960.75, 292.48
960.17, 287.93
959.55, 283.39
958.88, 278.86
958.17, 274.33
957.41, 269.80
956.62, 265.29
955.78, 260.78
954.90, 256.28
953.98, 251.79
953.02, 247.30
952.03, 242.83
951.00, 238.36
949.93, 233.90
948.83, 229.45
947.69, 225.00
946.53, 220.57
945.33, 216.14
944.10, 211.73
942.84, 207.32
941.55, 202.92
940.23, 198.52
938.89, 194.14
937.52, 189.76
936.13, 185.39
934.72, 181.03
933.28, 176.68
931.82, 172.33
930.34, 167.99
928.84, 163.66
927.33, 159.33
925.79, 155.01
924.25, 150.69
922.68, 146.38
921.11, 142.07
919.52, 137.77
917.92, 133.47
916.32, 129.18
914.70, 124.89
913.99, 123.00
